author,introduction,price,title
(美)布莱恩·W· 柯尼汉(Brian W· Kernighan),从1999年始，作者在普林斯顿大学设了一门名为“我们世界中的计算机”的课程（COS 109：Computers in Our World），这门课向非计算机专业的学生介绍计算机的基本常识，多年来大受学生追捧。本书就是基于这门课程的讲义编写而成的，书中不仅解释了计算机和通信系统的工作原理，还分析了新技术带来的隐私和安全问题。第2版的新增章节讨论了Python编程、人工智能、机器学习以及大数据等内容。本书适合所有希望了解数字世界的读者阅读，通过了解技术的工作原理、起源和未来发展趋势，更好地理解并改变我们身处的世界。,47.4,普林斯顿计算机公开课(原书第2版)
[美]布莱恩·克里斯汀,如今的“机器学习”系统已具备非凡能力，能够在各种场合代替我们看和听，并代表我们做决定。但是警钟已经敲响。随着机器学习飞速发展，人们的担忧也在与日俱增。如果我们训练的人工智能（AI）做的事情与我们真正的目的不符，就会引发潜在的风险和伦理问题。研究人员称之为对齐问题（the alignment problem）。 畅销书作家布莱恩·克里斯汀用生动的笔调，清晰阐释了AI与我们息息相关的问题。在书中，我们将认识批积极应对对齐问题的学者，了解他们为了避免AI发展的局面失控，付出的卓绝努力和雄心勃勃的计划。克里斯汀不仅精练地描绘了机器学习的发展史，并且亲自深科研一线同科学家对话，准确呈现了机器学习前沿的展。读者可以清晰认识到，对齐问题研究的成败，将对人类的未来产生决定性影响。 对齐问题还是一面镜子，将人类自身的偏见和盲暴露出来，让我们看清自己从未阐明的假设和经常自相矛盾的目标。这是一部精彩纷呈的跨学科史诗，不仅审视了人类的科技，也审视了人类的文化，时而让人沮丧，时而又柳暗花明。,49.99,人机对齐
虞芬 张扬  靳红霞 主编,微信小程序是一种“即用即走”的应用。本书重视理论讲解与实际操作的结合，力求通过丰富的案例详细讲解微信小程序发的流程和实用技术。全书共 15 章，内容涵盖微信小程序简介、微信发者工具、基础架构、文件配置、WXML语法、WXSS 布局、WXS 语法等基础概念，以及在小程序中使用 JavaScript 语言的方法，微信小程序核心组件的使用方法，通过 API 模块实现复杂程序的方法，云发模式，自定义组件发方法，常用第三方组件库的使用方法等实用技术，后两章还引了两个项目实战案例，以便读者上手体验微信小程序的真实发流程。 本书可作为高等院校计算机等相关专业学生的教材，也可作为广大计算机编程爱好者的参考书。,38.8,微信小程序开发与实战(微课版)
王琤,本书全面介绍了数据架构与数据建模的相关知识，全书分为4篇，共16章。 第1~3章为数据架构基础篇，介绍了企业架构、数据架构及数据模型的基础概念。第4~9章为数据模型设计篇，介绍了如何通过数据模型记分卡规范化数据模型设计，以及经典数据建模方法论，包括范式建模、维度建模、Data Vault建模、统一星型建模。第10~12章为数据模型落地篇，介绍了在企业中如何实现多人协作构建模型、如何管控数据模型、数据模型数据与数据标准，以及元数据如何形成数据治理闭环。第13~16章为行业数据模型篇，分别介绍了证券、保险、教育、航空业的数据架构及数据模型。 本书既可以作为数据建模人员、数据发人员的学习用书，也适合非IT专业但对数据有强烈兴趣的业务人员使用，还可以作为高等院校计算机、数学及相关专业的师生用书和培训学校的教材。,49.5,数据架构之道:数据模型设计与管控
阳光灿烂 著,本书旨在帮助读者掌握如何用Python有效地处理Excel数据，实现办公自动化。本书首先介绍开发环境的搭建和Excel模块的安装，接着讲解编写代码前的准备，然后介绍如何使用openpyxl和pandas这两个模块编写员工信息表查询案例，*后介绍PyInstaller模块与.py文件的编译，以及如何快速移植本书案例的代码。本书不仅适合办公人员阅读，还适合想要了解openpyxl模块和pandas模块的初级开发人员阅读。,51.07,用Python轻松处理Excel数据
罗锐,本书对因果推断相关知识行了系统、全面的介绍，为便于学习，对大多数知识都行了详细的推导说明。,47.0,因果推断:基于图模型分析
孙晓南,本书系统讲解了Excel数据透视表的基础知识、使用方法和应用技巧，让读者可以得心应手地运用数据透视表分析表格数据，解决工作上的难题，提高工作效率。 本书共13章，分别介绍了数据透视表的基础知识、创建数据透视表、布局数据透视表、刷新数据透视表、美化数据透视表、数据透视表的排序和筛选、数据透视图、数据透视表的项目组合、数据计算、复合数据透视表、使用多种数据源创建数据透视表、使用VBA操作数据透视表和数据透视表综合案例的相关内容，并且从实际工作出发，剖析数据透视表的应用，使读者更容易将学到的技能应用到日常工作中。 本书知识全面，案例丰富，讲解细致，实用性强，能够满足不同层次读者的学习需求，适用于职场办公人员、统计人员、财会人员、数据管理人员等作为自学参考用书，也可供各类培训学校作为教材使用。,47.6,Excel数据透视表从入门到精通
王力;张秉晟;等,随着社会数字化和信息化的程度越来越高，数据资源作为一种互联网时代的新能源所表现出的数据流动价值越来越得到人们的重视。在大数据背景下，机器学习技术正被广泛应用在各个领域，充分发挥数据的价值。与此同时，在对数据隐私的担忧声中，政府始行动制定数据使用合规法案。传统的机器学习方法受到了制约，大量的数据因为需要依法保护而无法被联合在一起行建模，隐私保护机器学习的概念应运而生。本书将介绍隐私保护机器学习的原理、方法和应用，主要介绍机器学习和隐私保护技术的基础知识，并讲解隐私保护机器学习的应用，包括隐私求交、安全多方计算、线性模型、树模型、神经网络。同时本书还介绍隐私保护机器学习的具体应用场景，深讲解其技术原理。,2.0,隐私保护机器学习
黄哲铿,"本书旨在帮助计算机IT技术人员提升职场核心技能、架构思维、团队管理能力、商业认知，让每一位普通的技术从业者，修炼成为""技术职场超级个体”，通过全面升级个人的底层操作系统，从容地应对快速变化的世界。本书按照技术职场人的成长轨迹，首先关注技术人的职场定位、思维方式升级、职场沟通、架构思维、学习能力和创新能力。然后介绍从技术转管理会踩的坑、有效管理的原则、造高效组织架构、团队高效执行力、技术人才的选用育留、管理者的自我修养、管理者的商业思维。全书总结了从程序员到技术高管，所需的72项技能。这些技能来自50多位一线互联网公司从业者的经验总结，以及作者将近20年的职场经验。如果你是技术职场小白，本书的""技术人的自我修养”""思维方式的升级”""学习力与创新力”等章节，可以帮助你树立正确的价值观、培养良好的职业习惯、提升思维能力、提高学习力和创新力，为技术职场的腾飞下牢固坚实的基础。如果你是寻求突破的资深工程师，本书的""技术人的难‘言’之痛”""技术人都要学的架构思维”""管理中常见的‘坑’”等章节，可以帮助你提升沟通技巧和架构思维，跨越从技术到管理的鸿沟，发掘更多自身的可能性，突破""35岁职场现象”，技术职场的另一片广阔天地。如果你是技术管理者，本书的""有效管理的原则”""造高效的组织架构”""团队高效执行力”""管理下属：人才的选用育留”""管理者的自我修养”""技术人的商业思维”等章节，可以帮助你提升商业思维，掌握业界领先的团队管理工具，实现""技术驱动商业腾飞”的梦想。",62.3,技术人修炼之道:从程序员到百万高管的72项技能(第2版)
王志立;雷鹏斌;吴宇凡,本书系统阐述自然语言处理基础知识，以及自然语言处理高级模型应用等高级知识。 全书共11章：第1~5章为自然语言处理的基础知识，第6~11章则将自然语言处理知识应用于实战。书中主要内容包括预训练模型、文本分类、机器阅读理解、命名实体识别、文本生成、模型蒸馏与剪枝及损失函数等知识。 书中包含大量应用示例，不仅可以学会理论知识还可以灵活应用。书中示例基于Linux与PyTorch环境发，读者在学习自然语言处理知识的同时还可学会PyTorch框架技术，内容完整、步骤清晰，提供了工程化的解决方案。 本书可作为有一定深度学习基础的读者的门书，也可作为从事自然语言处理算法工作的技术人员及培训机构的参考书。,41.3,自然语言处理——原理、方法与应用
(美)James P· Carse(詹姆斯·卡斯),在这本书中，卡斯向我们展示了生活中两种类型的「游戏」：「有限的游戏」和「无限的游戏」。有限的游戏，其目的在于赢得胜利；无限的游戏，却旨在让游戏永远行下去。有限的游戏在边界内玩，无限的游戏玩的就是边界。有限的游戏具有一个确定的始和结束，拥有特定的赢家，规则的存在就是为了保证游戏会结束。无限的游戏主张「为了游戏而游戏」，在这里，规则要保证游戏的无限性，所以规则是可变的。*恰当的例子也许就是「人生」。,34.0,有限与无限的游戏:一个哲学家眼中的竞技世界
郝瑞琪,本书以产品从0到1的诞生为主线，逐篇递进的分析讲解，让用户站在全貌视觉学习产品相关知识，同时针对很多从事1-2年的产品同事，他们每日画原型枯燥乏味，不知道该如何提升自己竞争力，在后面的篇幅中增加了提升内容，助力提升产品经理在各个方面的综合竞争优势。本书还介绍了相关职场应聘等相关经验分享。本书内容通俗易懂，描述翔实，图文并茂。本书适合阅读的对象有，0~1岁产品小白晋级，应届大学生择业/入门，互联网行业相关岗位转行，传统行业从业者转型。,43.4,产品经理成长笔记
[美]乔治·海涅曼(George T· Heineman) 著,在编写代码时，每位软件专业人士都需要对算法有充分的理解。在这本实用性极强的著作中，作者对一些关键的算法行了详实的描述，可以有效地提高用各种语言编写代码的质量。软件发人员、测试人员和维护人员可以在本书中学会如何使用算法，以创造性的方式解决计算性问题。 本书各章内容前后衔紧密，环环相扣，用醒目的图表有条不紊地展示了一些核心概念，并对书中介绍的每种算法的性能行了分析。在每一章的后，读者需要应用在该章所学习的知识，解决一个新颖的具有挑战性的问题，就像在参加技术面试。 在本书中，读者将会： 学习计算机科学和软件工程中非常重要且基本的算法； 学习高效解决问题的常用策略，包括分治法、动态规划等； 使用大O表示法对代码行分析，评估它的时间复杂度； 在算法中使用现有的Python程序库和数据结构解决问题； 理解重要算法的主要步骤。,51.07,算法学习指南
高登 主编,本书详细介绍了Python的基础知识，以及Python在办公自动化、大数据技术、人工智能技术等方面的应用，是一本注重实践、突出培养读者动手能力的教材。 本书共11个项目，分为基础篇、办公自动化应用篇、拓展学习篇，内容包括Python门、Python运算符与表达式、Python循环与判断、Python数据类型、Python函数与模块、Python正则表达式与爬虫、使用Python处理Excel文件、使用Python处理Word与PDF文件、使用Python处理图像、数据处理与数据可视化、使用机器学习算法对电影分类。 本书适合作为高等教育本、专科院校计算机相关课程的教材，也可供Python爱好者自学使用。,31.9,Python基础与办公自动化应用(微课版)
[美] 克里斯·里科米尼(Chris Riccomini);[美] 德米特里·里亚博伊(Dmitriy Ryaboy) 著,对于刚刚成为软件工程师的新手来说，知道如何编写代码只是成功了一半。你可能很快就会发现，学校并没有教授在现实世界中至关重要的技能和工作中必要的流程。本书恰恰填补了这一环节，它是作者十多年来在大型公司指导初级工程师工作的教程，涵盖软件工程的基础知识和best实践。 本书第1～2 章讲解当你在公司启你的职业生涯时会发生什么；第3～11 章会扩展你的工作技能，教你如何使用现有代码库、解决和防止技术债、编写生产级软件、管理依赖关系、有效地测试、评审代码、交付软件、处理On-Call 时的事故和构建可演的架构等；剩余章节涵盖管理能力和职业阶梯的提升等相关内容，例如敏捷计划、与管理者合作以及成长为资深工程师的必经之路。本书中非常重要的一部分内容是教你如何应对糟糕的管理，以及如何调整自己的节奏。 本书内容不仅浅显易懂，还覆盖整个软件发周期，是一本技术主管希望每名新行的工程师在始工作之前都能阅读的书。,51.07,程序员的README
苏江,本书是一本针对AI时代的实用性导向的书籍，它致力于帮助读者掌握与AI助手高效对话的技巧。随着人工智能技术的飞速发展，智能交互、语音识别、自然语言处理等应用已深到我们的日常生活和工作的方方面面，提问技巧成为每个人在这个时代的核心竞争力。本书特别关注AI对话中的Prompt技巧以及新兴职业Prompt Engineer。Prompt是与AI助手行交流的重要工具，Prompt Engineer则负责设计和优化Prompt，以满足不同行业和领域的需求，成为未来就业市场的热门职业之一。尤其在教育领域，AI技术的应用引发了家长们的焦虑：当AI技术能胜任许多学习任务时，孩子的教育目标和竞争力何在？本书回应了这一问题，鼓励家长们调整教育观念，培养孩子的创造力、批判性思维和团队协作能力，使他们成为未来社会发展的核心竞争力。本书不仅教授如何避免循环提问、设计精准指令、考虑上下文等关键技巧，还展望了AI技术的未来发展。这将帮助读者把握未来成功的关键因素。无论是职场人士、学生、AI技术爱好者，还是对未来社会发展感兴趣的公众，本书都将为你提供具有实际应用价值的知识和技巧。让我们一起踏上探索AI时代的旅程，从“做题家”转变为“出题家”，在这个充满机遇和挑战的新世界中勇往直前！,41.3,学会提问:AI大模型时代与ChatGPT对话的关键技能
李楠;秦建军;李宇翔;朱丽萍,本书是面向青少年的人工智能科普书和门读物，立足于趣味性、科学性、知识性和实践性，尽量避免晦涩专业术语对阅读流畅性的影响。书中还包含数十个精心筛选的实践案例，可根据读者需要灵活选用。 全书共5 个单元、14章，从人工智能的发展简史讲起，以语音、图像、生活中的典型场景及伦理问题为主要知识载体，聚焦问题，深浅出地引出人工智能的基本思想、主要原理、知识概念、典型应用实践等。 本书可作为青少年课外科普读物和中学信息技术等学科的辅助教材、职业院校的专业教材和本科阶段的通识教育教材，还可作为相关培训教材和科学素质提升读本。,45.37,人工智能通识讲义
谢希仁,本书自1989年首次出版以来，曾于1994年、1999年、2003年、2008年和2013年分别出了修订版。在2006年本书通过了*的评审，被纳普通高等教育“十一五”*规划教材；2008年出版的第5版获得了*2009年精品教材称号。2013年出版的第6版是“十二五”普通高等教育本科*规划教材。现在的第7版又在第6版的基础上行了一些修订。 全书分为9章，比较全面系统地介绍了计算机网络的发展和原理体系结构、物理层、数据路层（包括局域网）、网络层、运输层、应用层、网络安全、互联网上的音频/视频服务，以及无线网络和移动网络等内容。各章均附有习题（附录A给出了部分习题的答案和提示）。全书课件（PowerPoint文件）放在电子工业出版社悦学多媒体课程资源平台上(http://yx.51zhy.cn/mtrcsRes/phei_cnetwork.jsp)，供读者下载参考。 本书的特是概念准确、论述严谨、内容新颖、图文并茂，突出基本原理和基本概念的阐述，同时力图反映计算机网络的一些*发展。本书可供电气信息类和计算机类专业的大学本科生和研究生使用，对从事计算机网络工作的工程技术人员也有参考价值。,34.0,计算机网络(第7版)
（美）Stephen Prata,C 是在 C 语言基础上发的一种集面向对象编程、泛型编程和过程化编程于一体的编程语言，是C语言的超集。《C Primer Plus(第6版)中文版》是根据2003年的ISO/ANSI C 标准编写的，通过大量短小精悍的程序详细而全面地阐述了 C 的基本概念和技术，并专辟一章介绍了C 11新增的功能。 　　全书分18章和10个附录。分别介绍了C 程序的运行方式、基本数据类型、复合数据类型、循环和关系表达式、分支语句和逻辑运算符、函数重载和函数模板、内存模型和名称空间、类的设计和使用、多态、虚函数、动态内存分配、继承、代码重用、友元、异常处理技术、string类和标准模板库、输/输出、C 11新增功能等内容。 　　 《C Primer Plus(第6版)中文版》针对C 初学者，书中从C语言基础知识始介绍，然后在此基础上详细阐述C 新增的特性，因此不要求读者有C语言方面的背景知识。本书可作为高等院校教授C 课程的教材，也可供初学者自学C 时使用。,31.99,C++ Primer Plus(第6版)中文版
"伊恩·古德费洛 （Ian Goodfellow）, 约书亚·本吉奥 （Yoshua Bengio）",《深度学习》由全球知名的三位专家Ian Goodfellow、Yoshua Bengio 和Aaron Courville撰写，是深度学习领域奠基性的经典教材。全书的内容包括3个部分：第1部分介绍基本的数学工具和机器学习的概念，它们是深度学习的预备知识；第2部分系统深地讲解现今已成熟的深度学习方法和技术；第3部分讨论某些具有前瞻性的方向和想法，它们被公认为是深度学习未来的研究重。 《深度学习》适合各类读者阅读，包括相关专业的大学生或研究生，以及不具有机器学习或统计背景、但是想要快速补充深度学习知识，以便在实际产品或平台中应用的软件工程师。,19.99,深度学习(deep learning)
齐伟,本书系统地阐述机器学习的数学基础知识，但并非大学数学教材的翻版，而是以机器学习算法为依据，选取数学知识，并从应用的角度阐述各种数学定义、定理等，侧重于讲清楚它们的应用和实现方法。所以，书中将使用发者喜欢的编程语言（Python）来实现各种数学计算，并阐述数学知识在机器学习算法中的应用体现。,53.0,机器学习数学基础
明日科技,                    《Python从门到精通》从初学者角度出发，通过通俗易懂的语言、丰富多彩的实例，详细介绍了使用Python行程序发应该掌握的各方面技术。全书共分22章，包括初识Python、Python语言基础、运算符与表达式、流程控制语句、列表与元组、字典与集合、字符串、Python中使用正则表达式、函数、面向对象程序设计、模块、异常处理及程序调试、文件及目录操作、操作数据库、GUI界面编程、Pygame游戏编程、网络爬虫发、使用程和线程、网络编程、Web编程、Flask框架、e起去旅行网站等。所有知识都结合具体实例行介绍，涉及的程序代码都给出了详细的注释，读者可轻松领会Python程序发的精髓，快速提升发技能。除此之外，本书还附配了235集高清教学微视频及PPT电子教案。                 ,47.88,Python从入门到精通
曾志超 王楠 陈韵巧 刘昌源 著,在以ChatGPT为代表的大模型掀起AIGC（人工智能生成内容）应用热潮之后，各行各业都希望深了解流行的AI工具，将其引日常工作，以节省工作时间，提高办公效率。本书作者团队较早始将AI工具应用于实际工作，积累了丰富的使用经验，因此为没有太多技术基础的职场人士创作了这本实操指南。 本书分为三篇，上篇是基础篇，介绍了AIGC的基础知识及其应用潜力；中篇是工具篇，介绍了AI文本应用、AI绘画和AI图像处理的国内外流行工具的基本功能和基础用法；下篇是应用篇，分别介绍了通用办公场景下的AI应用以及不同行业、不同岗位的典型办公场景下的AI应用。书中提供了大量的实用案例，读者可以参考并模仿操作。,38.9,AI办公应用实战一本通:用AIGC工具成倍提升工作效率
[美] J· 格伦•布鲁克希尔(J· Glenn Brookshear) 著,本书是计算机科学概论课程教材，全书对计算机科学做了百科全书式的精彩阐述，充分展现了计算机科学的历史背景、发展历程和新的技术趋势。本书首先介绍的是信息编码及计算机体系结构的基本原理，而介绍操作系统和组网及因特网的相关内容，着探讨算法、程序设计语言及软件工程，然后讨论数据抽象和数据库方面的问题，讲述图形学的主要应用以及人工智能，后以计算理论的介绍结束全书。本书在内容编排上由具体到抽象逐步推，很适合教学安排，每一个主题自然而然地引导出下一个主题。此外，书中还包含大量的图、表和示例，有助于读者对知识的了解与把握。 第13版的全彩色印策略允许我们制作许多更具描述性的图和图表，使用语法着色对阐明本书中的代码和伪代码段有更好的效果。 本书非常适合作为高等院校计算机以及相关专业本科生教材，也可以供有意在计算机方面发展的非计算机专业读者作为门参考。,56.96,计算机科学概论(第13版)
张建飞,本书涵盖程序员应知应会的16种思维能力，共18章，分为三部分。部分主要介绍抽象思维、逻辑思维、结构化思维、批判性思维、维度思维、分类思维、分治思维、简单思维，以及成长型思维等解决日常问题的基础思维能力。第二部分结合软件行业的特，主要介绍解耦思维、契约思维、模型思维、工具化思维、量化思维、数据思维，以及产品思维等专业思维能力。第三部分主要是对上述思维能力的综合运用实践。,65.5,程序员的底层思维
明日科技,《C#从门到精通（第6版）》从初学者角度出发，通过通俗易懂的语言、丰富多彩的实例，详细介绍了使用C#行WinForm应用程序发应该掌握的各方面技术。全书分为4篇，共26章，包括初识C#及其发环境、始C#之旅、变量与常量、表达式与运算符、字符与字符串、流程控制语句、数组和集合、属性和方法、结构和类、Windows窗体、Windows应用程序常用控件、Windows应用程序高级控件、数据访问技术、DataGridView数据控件、LINQ数据访问技术、程序调试与异常处理、面向对象技术高级应用、迭代器和分部类、泛型、文件及数据流技术、GDI 图形图像技术、Windows印技术、网络编程技术、注册表技术、线程的使用，以及企业人事管理系统等内容。本书所有知识都结合具体实例行介绍，涉及的程序代码给出了详细的注释，可以使读者轻松领会C#应用程序发的精髓，以快速提高发技能。,34.93,C#从入门到精通(第6版)
"（美）史蒂芬·卢奇（Stephen Lucci）,丹尼·科佩克（Danny Kopec）",作为计算机科学的一个分支，人工智能主要研究、发用于模拟、延伸和扩展人类智能的理论、方法、技术及应用系统，涉及机器人、语音识别、图像识别、自然语言处理和专家系统等方向。 本书包括引言、基础知识、基于知识的系统、高级专题以及现在和未来五部分内容。*部分从人工智能的定义讲起，就人工智能的早期历史、思维和智能的内涵、图灵测试、启发法、新千年人工智能的发展行了简要论述。第二部分详细讲述了人工智能中的盲目搜索、知情搜索、博弈中的搜索、人工智能中的逻辑、知识表示和产生式系统等基础知识。第三部分介绍并探究了人工智能领域的成功案例，如DENDRAL、MYCIN、EMYCIN等经典的专家系统，振动故障诊断、自动牙科识别等新的专家系统，以及受到自然启发的搜索等。第四部分介绍了自然语言处理和自动规划等高级专题。第五部分对人工智能的历史和现状行了梳理，回顾了几十年来人工智能所取得的诸多成就，并对其未来行了展望。 本书系统、全面地涵盖了人工智能的相关知识，既简明扼要地介绍了这一学科的基础知识，也对自然语言处理、自动规划、神经网络等内容行了拓展，更辅以实例，可以帮助读者扎扎实实好基础。本书特色鲜明、内容易读易学，适合人工智能相关领域和对该领域感兴趣的读者阅读，也适合高校计算机专业的教师和学生参考。,18.99,人工智能(第2版)
王苏静;渠继鹏;等,"本书介绍了ChatGPT的前世今生，重聚焦普通人如何使用ChatGPT获得工作和生活效率的提升，各行各业如何通过ChatGPT来改变自己的赛道状态。使用ChatGPT的宝典以及普及ChatGPT背后的技术，普通人可以看懂而且也富有科普性。同时，把AIGC中的生成视频、图像和文本也做了介绍，并提供了大量的工具。后本书认为通过ChatGPT到AIGC,千行百业都会发生革命性变革，应对新变化，只能拥抱新变化，掌握ChatGPT，快人一步。本书四色印刷，所有插图均为人工智能绘制，为本书增加了很多趣味性。",54.6,从ChatGPT到AIGC:人工智能重塑千行百业
任平安,本书通过对K线理论、单根K线、K线组合、K线形态及其综合应用的分析，让散户投资者对每天见到的K线不再陌生，让司空见惯的K线不再普通。全书以独特的视角抽丝剥茧地讲述一根根具备实战操作意义的K线，精选的60多幅A股K线案例图均为编者10余年股市实战所用，去芜存菁，具有较高的价值。阅读本书，投资者会发现，同样的K线不一样的解读，同样的市场不一样的操作。本书可以真正帮助读者读懂K线语言，明白K线故事，把握波段盈利。,15.32,破解K线密码
凌杰 著,本书是《JavaScript 全栈发》在后端发方面的续作。后端发（也称服务端发）指的是创建Web 应用在服务端的实现，并对它行部署与维护的过程。要想成为一名全栈工程师，后端发的技术栈是必须要全面了解并掌握的。本书将以基于 Node.js 运行平台的 Express.js 框架为工具为读者介绍发并维护一个服务端应用所涉及的全部技术栈。 本书主体由两部分组成：部分以发一个“线上简历”应用的服务端业务为演示项目，循序渐地介绍使用 Express.js 框架发服务端应用的具体实践过程；第二部分以“线上简历”应用的部署与维护工作为例，为读者介绍如何使用Docker、K8s 等运维工具来行服务端应用的维护工作。 本书提供了一个可读性高、可被验证的示例项目（包含完整源代码），以帮助读者理解书中所介绍的技术的概念、发框架以及 Web 应用的维护工具。本书适合已经对 JavaScript、HTML 和 CSS 等基本前端技术，以及 Node.js 运行平台有所了解，并对 Web 全栈发及其设计理念感兴趣的读者阅读、使用。,44.67,Node.js 后端全程实战
杨果仁 张良均 主编,本书以Python数据分析的常用技术与交通行业真实案例相结合的方式，深浅出地介绍了Python数据分析与挖掘技术的重要内容。全书共10章，内容包括绪论、Python 数据分析简介、数据获取、数据探索、数据预处理、构建模型、运输车辆驾驶行为分析、公交车站设置优化分析、铁路站客流量预测，以及基于TipDM大数据挖掘建模平台实现运输车辆驾驶行为分析。本书大部分章节包含课后习题，通过练习和操作实践，读者可以巩固所学的内容。 本书可作为高校数据分析相关专业的教材，也可作为交通行业相关的教学、培训教材，还可作为数据分析爱好者的自学用书。,38.8,Python数据分析基础与案例实战
小岩井,"想学习新技能?聊天机器人定制学习计划,语音练习轻松掌握。 想写作无障碍?随时获取写作灵感和文章框架,激发创造力。 想*时间管理?告知任务计划,机器人生成清单并提醒跟进,节省时间精力。 想打开思维潜力?与机器人互动脑力激荡,创意迸发,重现工作热情。 ChatGPT小课程带来人工智能新体验：让它成为你的私人助理+超级军师，自然聊天就能完成学习、写作、管理和头脑风暴。获取脑力资源，提高生产力!",19.99,从零开始玩转ChatGPT
（美）蒂姆·拉夫加登（Tim Roughgarden）,算法是计算机科学领域*重要的基石之一。算法是程序的灵魂，只有掌握了算法，才能轻松地驾驭程序发。 算法详解系列图书共有4卷，本书是第1卷——算法基础。本书共有6章，主要介绍了4个主题，它们分别是渐性分析和大O表示法、分治算法和主方法、随机化算法以及排序和选择。附录A和附录B简单介绍了数据归纳法和离散概率的相关知识。本书的每一章均有小测验、章末习题和编程题，这为读者的自我检查以及一步学习提供了较多的便利。 本书为对算法感兴趣的广大读者提供了丰富而实用的资料，能够帮助读者提升算法思维能力。本书适合计算机专业的高校教师和学生，想要培养和训练算法思维和计算思维的IT专业人士，以及在准备面试的应聘者和面试官阅读参考。,31.36,算法详解(卷1)——算法基础
